symbol,timeframe,seed,n_signals,n_eligible
USDJPY,H1,0,1857,37142
USDJPY,H1,1,1857,37142
USDJPY,H1,2,1857,37142
USDJPY,H1,3,1857,37142
USDJPY,H1,4,1857,37142
USDJPY,H1,5,1857,37142
USDJPY,H1,6,1857,37142
USDJPY,H1,7,1857,37142
USDJPY,H1,8,1857,37142
USDJPY,H1,9,1857,37142
USDJPY,H1,10,1857,37142
USDJPY,H1,11,1857,37142
USDJPY,H1,12,1857,37142
USDJPY,H1,13,1857,37142
USDJPY,H1,14,1857,37142
USDJPY,H1,15,1857,37142
USDJPY,H1,16,1857,37142
USDJPY,H1,17,1857,37142
USDJPY,H1,18,1857,37142
USDJPY,H1,19,1857,37142
USDJPY,H1,20,1857,37142
USDJPY,H1,21,1857,37142
USDJPY,H1,22,1857,37142
USDJPY,H1,23,1857,37142
USDJPY,H1,24,1857,37142
USDJPY,H1,25,1857,37142
USDJPY,H1,26,1857,37142
USDJPY,H1,27,1857,37142
USDJPY,H1,28,1857,37142
USDJPY,H1,29,1857,37142
USDJPY,H1,30,1857,37142
USDJPY,H1,31,1857,37142
USDJPY,H1,32,1857,37142
USDJPY,H1,33,1857,37142
USDJPY,H1,34,1857,37142
USDJPY,H1,35,1857,37142
USDJPY,H1,36,1857,37142
USDJPY,H1,37,1857,37142
USDJPY,H1,38,1857,37142
USDJPY,H1,39,1857,37142
USDJPY,H1,40,1857,37142
USDJPY,H1,41,1857,37142
USDJPY,H1,42,1857,37142
USDJPY,H1,43,1857,37142
USDJPY,H1,44,1857,37142
USDJPY,H1,45,1857,37142
USDJPY,H1,46,1857,37142
USDJPY,H1,47,1857,37142
USDJPY,H1,48,1857,37142
USDJPY,H1,49,1857,37142
USDJPY,H1,50,1857,37142
USDJPY,H1,51,1857,37142
USDJPY,H1,52,1857,37142
USDJPY,H1,53,1857,37142
USDJPY,H1,54,1857,37142
USDJPY,H1,55,1857,37142
USDJPY,H1,56,1857,37142
USDJPY,H1,57,1857,37142
USDJPY,H1,58,1857,37142
USDJPY,H1,59,1857,37142
USDJPY,H1,60,1857,37142
USDJPY,H1,61,1857,37142
USDJPY,H1,62,1857,37142
USDJPY,H1,63,1857,37142
USDJPY,H1,64,1857,37142
USDJPY,H1,65,1857,37142
USDJPY,H1,66,1857,37142
USDJPY,H1,67,1857,37142
USDJPY,H1,68,1857,37142
USDJPY,H1,69,1857,37142
USDJPY,H1,70,1857,37142
USDJPY,H1,71,1857,37142
USDJPY,H1,72,1857,37142
USDJPY,H1,73,1857,37142
USDJPY,H1,74,1857,37142
USDJPY,H1,75,1857,37142
USDJPY,H1,76,1857,37142
USDJPY,H1,77,1857,37142
USDJPY,H1,78,1857,37142
USDJPY,H1,79,1857,37142
USDJPY,H1,80,1857,37142
USDJPY,H1,81,1857,37142
USDJPY,H1,82,1857,37142
USDJPY,H1,83,1857,37142
USDJPY,H1,84,1857,37142
USDJPY,H1,85,1857,37142
USDJPY,H1,86,1857,37142
USDJPY,H1,87,1857,37142
USDJPY,H1,88,1857,37142
USDJPY,H1,89,1857,37142
USDJPY,H1,90,1857,37142
USDJPY,H1,91,1857,37142
USDJPY,H1,92,1857,37142
USDJPY,H1,93,1857,37142
USDJPY,H1,94,1857,37142
USDJPY,H1,95,1857,37142
USDJPY,H1,96,1857,37142
USDJPY,H1,97,1857,37142
USDJPY,H1,98,1857,37142
USDJPY,H1,99,1857,37142
